1784 episodes -> 28405 macro transitions (22956 student), success-terminal 1548
  step   2000  V 0.0017  Q 0.0041  pi 0.0847  v 0.483  w 0.93  29s
  step   4000  V 0.0013  Q 0.0058  pi 0.0837  v 0.714  w 0.97  55s
  step   6000  V 0.0012  Q 0.0046  pi 0.0752  v 0.761  w 0.96  81s
  step   8000  V 0.0014  Q 0.0026  pi 0.0761  v 0.751  w 0.98  108s
  step  10000  V 0.0010  Q 0.0027  pi 0.0689  v 0.756  w 0.96  134s
  step  12000  V 0.0005  Q 0.0012  pi 0.0737  v 0.746  w 1.01  159s
  step  14000  V 0.0005  Q 0.0016  pi 0.0689  v 0.734  w 0.97  184s
  step  16000  V 0.0003  Q 0.0009  pi 0.0692  v 0.741  w 0.98  210s
  step  18000  V 0.0001  Q 0.0005  pi 0.0634  v 0.747  w 0.98  235s
  step  20000  V 0.0002  Q 0.0004  pi 0.0649  v 0.749  w 0.98  261s
  step  22000  V 0.0001  Q 0.0003  pi 0.0635  v 0.748  w 0.98  289s
  step  24000  V 0.0001  Q 0.0003  pi 0.0609  v 0.712  w 0.99  316s
  step  26000  V 0.0001  Q 0.0005  pi 0.0569  v 0.738  w 1.01  341s
  step  28000  V 0.0001  Q 0.0004  pi 0.0603  v 0.744  w 0.99  367s
  step  30000  V 0.0001  Q 0.0006  pi 0.0573  v 0.722  w 0.99  392s
  step  32000  V 0.0001  Q 0.0003  pi 0.0585  v 0.741  w 0.98  418s
  step  34000  V 0.0001  Q 0.0005  pi 0.0574  v 0.736  w 1.00  445s
  step  36000  V 0.0001  Q 0.0005  pi 0.0526  v 0.743  w 0.98  472s
  step  38000  V 0.0001  Q 0.0005  pi 0.0503  v 0.753  w 0.99  498s
  step  40000  V 0.0001  Q 0.0003  pi 0.0558  v 0.720  w 0.99  523s
