transitions by outcome {'success': 20451, 'G1': 3264, 'F1': 1812, 'S1': 1704, 'M1': 0}; sampling uniform; max/episode 12
2335 episodes -> 27231 macro transitions (22656 student), success-terminal 1770
  step   2000  V 0.0008  Q 0.0019  pi 0.2046  v 0.196  w 1.31  86s
  step   4000  V 0.0010  Q 0.0013  pi 0.1600  v 0.399  w 1.21  172s
  step   6000  V 0.0006  Q 0.0008  pi 0.1114  v 0.486  w 1.13  259s
  step   8000  V 0.0004  Q 0.0006  pi 0.0929  v 0.510  w 1.22  347s
  step  10000  V 0.0003  Q 0.0006  pi 0.0747  v 0.501  w 1.05  434s
  step  12000  V 0.0003  Q 0.0005  pi 0.2004  v 0.493  w 2.25  521s
  step  14000  V 0.0001  Q 0.0003  pi 0.0693  v 0.500  w 1.30  616s
  step  16000  V 0.0001  Q 0.0003  pi 0.1036  v 0.524  w 1.63  736s
  step  18000  V 0.0001  Q 0.0003  pi 0.0499  v 0.503  w 0.84  857s
  step  20000  V 0.0001  Q 0.0003  pi 0.0556  v 0.498  w 1.05  977s
  step  22000  V 0.0001  Q 0.0002  pi 0.0746  v 0.530  w 0.96  1099s
  step  24000  V 0.0001  Q 0.0002  pi 0.0651  v 0.537  w 1.08  1226s
  step  26000  V 0.0001  Q 0.0003  pi 0.0868  v 0.524  w 1.23  1348s
  step  28000  V 0.0001  Q 0.0002  pi 0.0911  v 0.489  w 1.33  1532s
  step  30000  V 0.0001  Q 0.0002  pi 0.0598  v 0.490  w 1.26  1760s
  step  32000  V 0.0000  Q 0.0001  pi 0.0586  v 0.514  w 0.85  1845s
  step  34000  V 0.0000  Q 0.0001  pi 0.0563  v 0.509  w 0.96  1930s
  step  36000  V 0.0001  Q 0.0002  pi 0.0518  v 0.515  w 0.97  2014s
  step  38000  V 0.0000  Q 0.0001  pi 0.0541  v 0.525  w 1.09  2099s
  step  40000  V 0.0000  Q 0.0001  pi 0.0724  v 0.505  w 1.54  2184s
