epoch,util_pct,mem_mib
1790360369,0,1809
1790360374,0,2176
1790360380,0,2176
1790360385,0,2176
1790360390,11,2176
1790360395,0,2176
1790360400,3,2169
1790360406,10,2169
1790360411,0,2169
1790360416,0,2169
1790360421,0,2169
1790360427,0,2438
1790360432,99,6184
1790360437,70,7956
1790360442,63,7956
1790360447,78,7956
1790360453,75,7956
1790360458,49,7956
1790360463,48,7956
1790360468,50,7956
1790360474,82,7956
1790360479,61,7956
1790360484,68,7956
1790360490,54,7956
1790360495,77,7956
1790360500,47,7956
1790360505,62,7956
1790360511,74,7956
1790360516,73,7956
1790360521,77,7956
1790360526,57,7956
1790360532,58,7956
1790360537,63,7956
1790360542,76,7956
1790360547,51,7956
1790360553,64,7956
1790360558,70,7956
1790360563,42,7956
1790360569,43,7956
1790360574,59,7958
1790360579,69,7956
1790360584,46,7956
1790360590,69,7956
1790360595,66,7956
1790360600,63,7956
1790360606,46,7956
1790360611,68,7956
1790360616,71,7956
1790360621,50,7956
1790360627,48,7956
1790360632,66,7956
1790360637,46,7956
1790360642,53,7956
1790360648,81,7956
1790360653,69,7956
1790360658,70,7956
1790360664,62,7956
1790360669,47,7956
1790360674,73,7956
1790360679,57,7956
1790360685,55,7956
1790360690,59,7956
1790360695,70,7956
1790360700,77,7956
1790360706,43,7956
1790360711,64,7956
1790360716,58,7956
1790360722,36,7956
1790360727,45,7956
1790360732,43,7956
1790360738,75,7956
1790360743,62,7956
1790360748,57,7956
1790360753,80,7956
1790360759,77,7956
1790360764,71,7952
1790360769,70,7952
1790360774,42,7952
1790360780,64,7952
1790360785,60,7952
1790360790,71,7952
1790360796,52,7952
1790360801,44,7952
1790360806,43,7952
1790360811,58,7952
1790360817,59,7952
1790360822,45,7952
1790360827,79,7952
1790360833,56,7952
1790360838,81,7952
1790360843,51,7952
1790360848,45,7952
1790360854,59,7952
1790360859,53,7952
1790360864,33,7952
1790360870,59,7952
1790360875,43,7952
1790360880,27,7952
1790360885,48,7952
1790360891,45,7952
1790360896,43,7952
1790360901,54,7952
1790360907,60,7952
1790360912,57,7952
1790360917,68,7952
1790360923,60,7952
1790360928,59,7952
1790360933,69,7952
1790360938,63,7952
1790360944,69,7952
1790360949,74,7952
1790360954,74,7952
1790360959,80,7952
1790360964,84,7952
1790360970,51,7952
1790360975,71,7952
1790360980,45,7952
1790360986,35,7952
1790360991,78,7952
1790360996,75,7952
1790361001,82,7952
1790361007,47,7952
1790361012,44,7952
1790361017,54,7952
1790361023,56,7952
1790361028,74,7952
1790361033,45,7952
1790361038,43,7952
1790361044,37,7952
1790361049,49,7952
1790361054,46,7952
1790361060,60,7952
1790361065,76,7952
1790361070,41,7952
1790361075,74,7952
1790361081,48,7952
1790361086,58,7952
1790361091,71,7952
1790361096,83,7952
1790361102,69,7952
1790361107,78,7952
1790361112,75,7952
1790361117,50,7952
1790361123,43,7952
1790361128,59,7952
1790361133,69,7952
1790361139,72,7952
1790361144,73,7952
1790361149,72,7952
1790361154,58,7952
