epoch,util_pct,mem_mib
1790383784,3,1582
1790383790,4,1582
1790383795,3,1586
1790383800,3,1588
1790383805,6,1585
1790383810,2,1588
1790383816,0,1586
1790383821,0,1783
1790383826,0,1989
1790383831,37,3039
1790383836,59,3062
1790383842,28,3060
1790383847,55,3028
1790383852,39,3028
1790383857,43,3057
1790383862,33,3169
1790383868,35,3141
1790383873,48,3113
1790383878,52,3112
1790383883,44,3112
1790383889,42,3112
1790383894,41,3112
1790383899,44,3112
1790383904,44,3125
1790383910,57,3101
1790383915,47,3128
1790383920,48,3127
1790383925,42,3125
1790383931,34,3127
1790383936,40,3127
1790383941,57,3127
1790383946,54,3127
1790383951,46,3127
1790383957,50,3127
1790383962,46,3127
1790383967,51,3127
1790383972,52,3127
1790383978,49,3127
1790383983,47,3127
1790383988,58,3127
1790383993,48,3127
1790383999,54,3127
1790384004,52,3127
1790384009,52,3127
1790384014,40,3127
1790384020,52,3127
1790384025,64,3127
1790384030,46,3127
1790384035,51,3127
1790384041,51,3127
1790384046,51,3127
1790384051,66,3127
1790384056,55,3127
1790384061,43,3127
1790384067,40,3127
1790384072,47,3127
1790384077,61,3127
1790384082,50,3127
1790384088,47,3127
1790384093,45,3127
1790384098,57,3127
1790384103,61,3127
1790384109,64,3127
1790384114,48,3127
1790384119,64,3127
1790384124,48,3127
1790384129,52,3127
1790384135,49,3126
1790384140,37,3151
1790384145,51,3186
1790384150,50,3163
1790384156,51,3138
1790384161,42,3141
1790384166,51,3098
1790384171,43,3118
1790384177,36,3168
1790384182,49,3103
1790384187,36,3156
1790384192,52,3142
1790384197,51,3105
1790384203,46,3099
1790384208,47,3103
1790384213,71,3153
1790384218,71,3201
1790384224,68,3144
1790384229,62,3154
1790384234,63,3203
1790384239,43,3325
1790384245,36,3261
1790384250,48,3290
1790384255,52,3244
1790384260,61,3243
1790384265,59,3244
1790384271,60,3245
1790384276,57,3244
1790384281,51,3251
1790384286,52,3297
1790384291,34,3288
1790384297,50,3278
1790384302,56,3278
1790384307,46,3278
1790384312,51,3274
1790384318,47,3274
1790384323,46,3274
1790384328,53,3270
1790384333,44,3270
1790384339,46,3270
1790384344,50,3255
1790384349,51,3255
1790384354,49,3255
1790384360,48,3255
1790384365,52,3255
1790384370,49,3255
1790384375,66,3255
1790384381,47,3255
1790384386,48,3255
1790384391,50,3255
1790384396,36,3255
1790384401,53,3249
1790384407,57,3249
1790384412,52,3249
1790384417,48,3249
1790384422,51,3249
1790384428,49,3261
1790384433,49,3261
1790384438,53,3249
1790384443,53,3249
1790384449,46,3249
1790384454,47,3249
1790384459,46,3249
1790384464,62,3249
1790384470,43,3249
1790384475,48,3249
1790384480,38,3249
1790384485,35,3249
1790384491,56,3249
1790384496,47,3249
1790384501,44,3249
1790384506,35,3249
1790384512,44,3249
1790384517,51,3249
1790384522,56,3249
1790384527,49,3249
1790384532,42,3249
1790384538,63,3254
1790384543,49,3254
1790384548,53,3254
1790384553,58,3259
1790384559,44,3254
1790384564,61,3254
1790384569,54,3254
1790384574,64,3254
1790384580,0,3254
1790384585,0,2298
1790384590,15,2298
1790384595,20,2298
1790384601,0,2298
1790384606,0,2298
1790384611,34,2298
1790384616,9,2427
1790384622,6,2358
1790384627,10,2527
1790384632,0,2522
